class_id,class_name,num_samples,expert_0,expert_1,expert_2,expert_3
0,Tomato Early blight leaf,20,1.0,0.35,0.2,0.45
1,Tomato Septoria leaf spot,42,1.0,0.30952382,0.42857143,0.26190478
2,Tomato leaf,40,1.0,0.05,0.525,0.425
3,Tomato leaf bacterial spot,27,1.0,0.037037037,0.8518519,0.11111111
4,Tomato leaf late blight,22,1.0,0.13636364,0.54545456,0.3181818
5,Tomato leaf mosaic virus,26,0.5,0.03846154,0.5,0.96153843
6,Tomato leaf yellow virus,79,0.2658228,0.721519,0.012658228,1.0
7,Tomato mold leaf,29,0.9655172,0.20689656,0.31034482,0.51724136
