seed,model,routing,G,top_k,tau,split,mean_entropy,std_entropy,normalized_entropy,expert_usage_1,expert_usage_2,expert_usage_3,expert_usage_4,usage_cv,accuracy,macro_f1
42,cluster_moe,cosine,4,2,0.5,test,0.6702521227953727,0.019647861161014156,0.9669694137021848,0.5052631578947369,0.3929824561403509,0.543859649122807,0.5578947368421052,0.12944467891716993,0.8701754385964913,0.8371947046896451
43,cluster_moe,cosine,4,2,0.5,test,0.66846999494653,0.02217552482795436,0.9643983466924293,0.49122807017543857,0.5824561403508772,0.32280701754385965,0.6035087719298246,0.22133093035663381,0.8631578947368421,0.8350647942582559
44,cluster_moe,cosine,4,2,0.5,test,0.6689405692251105,0.022609900849864428,0.9650772418705073,0.5228070175438596,0.6631578947368421,0.5298245614035088,0.28421052631578947,0.27312132849710696,0.8736842105263158,0.8527885697789387
45,cluster_moe,cosine,4,2,0.5,test,0.6690598450208965,0.02124000856984219,0.9652493204695859,0.5649122807017544,0.5964912280701754,0.4245614035087719,0.41403508771929826,0.1631107270058871,0.8701754385964913,0.8422626244087008
46,cluster_moe,cosine,4,2,0.5,test,0.6704918217240718,0.02088105466860797,0.9673152261579254,0.4982456140350877,0.4421052631578947,0.6,0.45964912280701753,0.12240535819306952,0.8666666666666667,0.8370119614219965
47,cluster_moe,cosine,4,2,0.5,test,0.660149695998744,0.0295358885279059,0.9523946926617447,0.5087719298245614,0.4280701754385965,0.3298245614035088,0.7333333333333333,0.2977498459449373,0.8701754385964913,0.8438916459510721
48,cluster_moe,cosine,4,2,0.5,test,0.6576895308076289,0.0327624392154718,0.9488454245407554,0.4280701754385965,0.5052631578947369,0.6947368421052632,0.3719298245614035,0.2439795237360347,0.8701754385964913,0.835550433426225
49,cluster_moe,cosine,4,2,0.5,test,0.6651937298607408,0.022772748426432513,0.9596716953005235,0.5052631578947369,0.38596491228070173,0.5929824561403508,0.5157894736842106,0.1480768269895382,0.8701754385964913,0.8412368766451535
50,cluster_moe,cosine,4,2,0.5,test,0.6552420819014834,0.038173707406828884,0.9453145021410301,0.8350877192982457,0.4245614035087719,0.49473684210526314,0.24561403508771928,0.427451379036778,0.887719298245614,0.8665314873929855
51,cluster_moe,cosine,4,2,0.5,test,0.653721901408413,0.03133641457618611,0.9431213452824213,0.6807017543859649,0.44912280701754387,0.3929824561403509,0.47719298245614034,0.21728904147917247,0.8842105263157894,0.8604899600525852
42,moe,learned,4,2,0.5,test,0.07303289323305155,0.1743781772942553,0.10536419288909661,0.5157894736842106,0.49473684210526314,0.543859649122807,0.4456140350877193,0.07182277014196045,0.8456140350877193,0.8108085011560737
43,moe,learned,4,2,0.5,test,0.07698257387505857,0.16938227626552269,0.11106237756441527,0.5263157894736842,0.4456140350877193,0.4842105263157895,0.543859649122807,0.07631074796818087,0.8491228070175438,0.8170737505007168
44,moe,learned,4,2,0.5,test,0.05492299320583174,0.1492219349509635,0.07923712992883168,0.47719298245614034,0.5684210526315789,0.4631578947368421,0.49122807017543857,0.0814609597631151,0.8526315789473684,0.8168175824999379
45,moe,learned,4,2,0.5,test,0.08585509537154064,0.18420369176360646,0.12386272032757067,0.5157894736842106,0.5298245614035088,0.4421052631578947,0.512280701754386,0.0681280275050793,0.8631578947368421,0.8335475014298905
46,moe,learned,4,2,0.5,test,0.09944052539947616,0.18202169699342502,0.14346235285721728,0.47017543859649125,0.512280701754386,0.5228070175438596,0.49473684210526314,0.03985198839158085,0.8701754385964913,0.8398490768333584
47,moe,learned,4,2,0.5,test,0.07149779217261398,0.17353934810259639,0.10314951020193994,0.5543859649122806,0.4456140350877193,0.519298245614035,0.4807017543859649,0.08161195333061756,0.8666666666666667,0.8406644516454358
48,moe,learned,4,2,0.5,test,0.09779076807305495,0.20000217544730275,0.14108225614371916,0.519298245614035,0.47368421052631576,0.5263157894736842,0.4807017543859649,0.04615068925602071,0.8596491228070176,0.8255108899037261
49,moe,learned,4,2,0.5,test,0.0907152658598084,0.17799345699735789,0.13087446418886947,0.45263157894736844,0.5368421052631579,0.4982456140350877,0.512280701754386,0.06127806735639642,0.8526315789473684,0.8285798240464796
50,moe,learned,4,2,0.5,test,0.09286290610548584,0.18369751683134775,0.13397285412092186,0.5298245614035088,0.4982456140350877,0.48771929824561405,0.4842105263157895,0.035954213213893305,0.8631578947368421,0.8237721124882436
51,moe,learned,4,2,0.5,test,0.11021641381317031,0.19670278363690272,0.15900867363282664,0.4982456140350877,0.45614035087719296,0.5228070175438596,0.5228070175438596,0.0544707884079299,0.856140350877193,0.8169114977498257
