seed,model,routing,G,top_k,tau,split,mean_entropy,std_entropy,normalized_entropy,expert_usage_1,expert_usage_2,expert_usage_3,expert_usage_4,usage_cv,accuracy,macro_f1
42,cluster_moe,cosine,4,2,0.3,test,0.637080919115167,0.047164935840490016,0.9191134826524342,0.5087719298245614,0.3929824561403509,0.48771929824561405,0.6105263157894737,0.15458519839937326,0.8666666666666667,0.8340053018658178
43,cluster_moe,cosine,4,2,0.3,test,0.6218791687697695,0.0584250492793485,0.8971819928162972,0.5719298245614035,0.5157894736842106,0.3473684210526316,0.5649122807017544,0.1814750953120807,0.8596491228070176,0.8311467421442975
44,cluster_moe,cosine,4,2,0.3,test,0.6241136007141649,0.05731874535680611,0.9004055967016803,0.5017543859649123,0.6175438596491228,0.5649122807017544,0.3157894736842105,0.22796218766008125,0.8350877192982457,0.7994426399146629
45,cluster_moe,cosine,4,2,0.3,test,0.6321457855534135,0.05140711634117341,0.9119935899367678,0.5789473684210527,0.6035087719298246,0.43859649122807015,0.37894736842105264,0.1880714846772968,0.8631578947368421,0.837911377562055
46,cluster_moe,cosine,4,2,0.3,test,0.6496779979320995,0.03695155230513205,0.9372872257913102,0.4666666666666667,0.47017543859649125,0.7543859649122807,0.3087719298245614,0.3213736291941163,0.8456140350877193,0.810908244379034
42,cluster_moe,cosine,4,2,0.5,test,0.6702521227953727,0.019647861161014156,0.9669694137021848,0.5052631578947369,0.3929824561403509,0.543859649122807,0.5578947368421052,0.12944467891716993,0.8701754385964913,0.8371947046896451
43,cluster_moe,cosine,4,2,0.5,test,0.66846999494653,0.02217552482795436,0.9643983466924293,0.49122807017543857,0.5824561403508772,0.32280701754385965,0.6035087719298246,0.22133093035663381,0.8631578947368421,0.8350647942582559
44,cluster_moe,cosine,4,2,0.5,test,0.6689405692251105,0.022609900849864428,0.9650772418705073,0.5228070175438596,0.6631578947368421,0.5298245614035088,0.28421052631578947,0.27312132849710696,0.8736842105263158,0.8527885697789387
45,cluster_moe,cosine,4,2,0.5,test,0.6690598450208965,0.02124000856984219,0.9652493204695859,0.5649122807017544,0.5964912280701754,0.4245614035087719,0.41403508771929826,0.1631107270058871,0.8701754385964913,0.8422626244087008
46,cluster_moe,cosine,4,2,0.5,test,0.6704918217240718,0.02088105466860797,0.9673152261579254,0.4982456140350877,0.4421052631578947,0.6,0.45964912280701753,0.12240535819306952,0.8666666666666667,0.8370119614219965
42,cluster_moe,cosine,4,2,0.7,test,0.6810824860606277,0.01049380316722364,0.9825943250759942,0.4842105263157895,0.40350877192982454,0.5719298245614035,0.5403508771929825,0.1279138676039171,0.8631578947368421,0.8260631549026112
43,cluster_moe,cosine,4,2,0.7,test,0.679337055432169,0.012178046526350666,0.9800762009641012,0.5649122807017544,0.5473684210526316,0.34035087719298246,0.5473684210526316,0.1849026263334091,0.8666666666666667,0.8363401969901506
44,cluster_moe,cosine,4,2,0.7,test,0.6801026172805251,0.011777951069609948,0.9811806732462183,0.519298245614035,0.5754385964912281,0.5508771929824562,0.3543859649122807,0.17278697897887907,0.8315789473684211,0.7980493642804909
45,cluster_moe,cosine,4,2,0.7,test,0.6817084594776756,0.01067338873954425,0.9834974138204974,0.47719298245614034,0.5228070175438596,0.5052631578947369,0.49473684210526314,0.03310168818265474,0.8526315789473684,0.8180353858005649
46,cluster_moe,cosine,4,2,0.7,test,0.6842906213643258,0.007694169173402256,0.9872226859691403,0.47719298245614034,0.48771929824561405,0.743859649122807,0.2912280701754386,0.32206245176641785,0.8421052631578947,0.8136880058253952
42,cluster_moe,cosine,4,2,1.0,test,0.6871341054899651,0.005260934749209339,0.9913249664160465,0.4842105263157895,0.3824561403508772,0.5614035087719298,0.5719298245614035,0.1516909917278406,0.8631578947368421,0.8246284669596995
43,cluster_moe,cosine,4,2,1.0,test,0.6865295027431689,0.0061065535609950376,0.9904527090315358,0.5614035087719298,0.5403508771929825,0.3298245614035088,0.5684210526315789,0.19758467684633102,0.8807017543859649,0.8610565090766884
44,cluster_moe,cosine,4,2,1.0,test,0.6870030578814055,0.005516168820753834,0.9911359046810572,0.5228070175438596,0.6070175438596491,0.49473684210526314,0.37543859649122807,0.1658799530326009,0.8421052631578947,0.8099718649926856
45,cluster_moe,cosine,4,2,1.0,test,0.6869186142034698,0.005559316087704637,0.9910140782056649,0.5789473684210527,0.5824561403508772,0.4456140350877193,0.3929824561403509,0.16565714574193513,0.856140350877193,0.8298382144388328
46,cluster_moe,cosine,4,2,1.0,test,0.6888346395994488,0.0036539345124613223,0.9937783185426612,0.49473684210526314,0.44912280701754387,0.7719298245614035,0.28421052631578947,0.3508947364035307,0.8315789473684211,0.794680037937102
