seed,run_time,accuracy,macro_f1
42,run_20260707-120905,0.8596491228070176,0.8288822436318253
43,run_20260707-122116,0.8491228070175438,0.8139975635004797
44,run_20260707-123432,0.8105263157894737,0.7705428485137702
45,run_20260707-124635,0.8350877192982457,0.7976727273536802
46,run_20260707-125722,0.8385964912280702,0.8022937621280319
47,run_20260707-130843,0.8385964912280702,0.8003286245851519
48,run_20260707-132000,0.8526315789473684,0.8265834362791082
49,run_20260707-132942,0.856140350877193,0.8250445230623435
50,run_20260707-134055,0.8526315789473684,0.8193838373325508
51,run_20260707-140541,0.8736842105263158,0.850265246054371
mean,,0.8466666666666667,0.8134994812441313
std,,0.01711363317984251,0.021915241990423592
